Frequency_Hz,Amplitude
2420.0,7.978349287033926e-17
2425.0,1.698933971115773e-17
2430.0,3.7970602353732153e-17
2435.0,3.2243025648319953e-17
2440.0,7.899006797727933e-17
2445.0,2.767870536706323e-17
2450.0,6.030087435284098e-17
2455.0,8.311581038846042e-18
2460.0,2.37688528230775e-17
2465.0,2.6157917554061447e-17
2470.0,3.960535415514947e-17
2475.0,1.0369421899620705e-16
2480.0,3.223468210192311e-17
2485.0,4.985259677791516e-17
2490.0,6.486277620053088e-17
2495.0,2.2431737005697563e-17
2500.0,6.376694325261347e-17
2505.0,1.457324384692929e-16
2510.0,2.9923502171476435e-17
2515.0,2.228377076193087e-17
2520.0,7.870013734666396e-17
2525.0,3.752056427033455e-17
2530.0,5.430676093439082e-17
2535.0,6.953361544438569e-17
2540.0,5.810641852530566e-17
2545.0,1.1148546784959507e-17
2550.0,4.83544965024298e-17
2555.0,6.9374509919557075e-18
2560.0,1.9077890975982235e-17
2565.0,3.4414471722566605e-17
2570.0,6.125699368830684e-17
2575.0,7.546346981110102e-17
2580.0,2.5325702743083655e-17
2585.0,6.029447098980685e-17
2590.0,8.85891520367601e-18
2595.0,1.087969366789312e-17
2600.0,1.2869341825204366e-16
2605.0,7.625820692945429e-17
2610.0,7.470978384595671e-17
2615.0,4.692922183139352e-17
2620.0,2.6973037918192914e-17
2625.0,3.269718392130136e-17
2630.0,5.671375419643577e-17
2635.0,4.3593757584645895e-17
2640.0,5.457942988150659e-17
2645.0,1.966442298498658e-17
2650.0,3.722344616505831e-17
2655.0,1.8468436274629706e-17
2660.0,2.856810906449594e-17
2665.0,4.01432516411207e-17
2670.0,2.3626753313937293e-17
2675.0,1.8438468577202e-17
2680.0,4.513404144365462e-17
2685.0,6.268831163317344e-17
2690.0,3.714702895887054e-17
2695.0,4.9716333250708404e-17
2700.0,1.2800713769629941e-17
2705.0,2.8775776879710755e-18
2710.0,1.0967704138965577e-17
2715.0,3.4765671664362754e-17
2720.0,2.8394635190995176e-17
2725.0,3.4918085663499033e-17
2730.0,3.436602003121019e-17
2735.0,3.2978142164791915e-17
2740.0,2.0233231641099794e-17
2745.0,1.564293731729183e-17
2750.0,5.655150384998366e-17
2755.0,5.102619586396711e-17
2760.0,2.4416444097126486e-17
2765.0,5.155512194403048e-17
2770.0,5.811310107172729e-17
2775.0,6.11044656037521e-17
2780.0,5.115175438949568e-17
2785.0,4.80296469943394e-17
2790.0,7.955536086740148e-17
