Frequency_Hz,Amplitude
1770.0,1.9059458140433457e-17
1775.0,8.568897039465694e-17
1780.0,1.6274434880054692e-16
1785.0,1.598516134572906e-16
1790.0,3.1414954192875273e-17
1795.0,4.881816521336428e-17
1800.0,9.666509640875345e-17
1805.0,5.0214970684311024e-17
1810.0,1.634249446226151e-16
1815.0,6.882925105419555e-17
1820.0,1.19250835454458e-16
1825.0,1.125245091884955e-16
1830.0,7.835480062015335e-17
1835.0,1.3638371485717726e-16
1840.0,8.343335878786911e-17
1845.0,1.193450237131669e-16
1850.0,5.869735527139378e-17
1855.0,5.023577696248031e-17
1860.0,6.562888284035278e-17
1865.0,9.523121681615317e-17
1870.0,4.105408273406186e-17
1875.0,1.1510378301461067e-16
1880.0,3.283110960178123e-17
1885.0,1.033704471890186e-16
1890.0,3.55756390308822e-17
1895.0,2.3740185975599247e-17
1900.0,1.3004150142829365e-17
1905.0,1.034409006920426e-16
1910.0,9.23103996040179e-17
1915.0,2.069720052284955e-16
1920.0,1.7792808762562103e-16
1925.0,1.7932655860953082e-16
1930.0,9.173796094050343e-17
1935.0,1.2826999937375272e-16
1940.0,9.17492199045545e-17
1945.0,3.564128255661043e-17
1950.0,7.669920182907874e-17
1955.0,2.3242454932407716e-16
1960.0,1.686801937690534e-16
1965.0,1.703620100567269e-16
1970.0,1.8553267681122823e-16
1975.0,5.69856309314945e-17
1980.0,4.370037496615194e-17
1985.0,1.9191231447252522e-16
1990.0,1.7670695207522924e-16
1995.0,2.4583922537550983e-16
2000.0,1.5589398519134218e-16
2005.0,2.378475753735728e-16
2010.0,1.3999059630725227e-16
2015.0,1.7641614983998543e-16
2020.0,3.240712826724298e-16
2025.0,2.96773669701464e-16
2030.0,1.3570965423074431e-16
2035.0,1.5462446287836596e-16
2040.0,7.608977511499818e-17
2045.0,5.3362488937581806e-17
2050.0,9.79764104241641e-17
2055.0,1.0145636544697133e-16
2060.0,4.668722601137041e-17
2065.0,5.460336130670055e-17
2070.0,5.350613172959416e-17
2075.0,3.532258856308899e-17
2080.0,2.171456170212397e-17
2085.0,9.439269755730231e-17
2090.0,1.1881540637574333e-17
2095.0,4.527105531893955e-17
2100.0,3.5337827980332944e-17
